"","Overall","1","2","3","p","test"
"n","413146","105227","204634","103279","",""
"sex = 2 (%)","190849 (46.2)","69149 (65.7)","93068 (45.5)","28629 (27.7)","<0.001",""
"age (mean (SD))","56.54 (8.09)","57.70 (8.07)","56.32 (8.10)","55.79 (7.96)","<0.001",""
"income (%)","","","","","<0.001",""
"   1","40844 (9.9)","9912 (9.4)","20134 (9.9)","10798 (10.5)","",""
"   2","17370 (4.2)","3874 (3.7)","8290 (4.1)","5206 (5.1)","",""
"   3","79972 (19.4)","21680 (20.7)","37894 (18.6)","20398 (19.8)","",""
"   4","89874 (21.8)","23863 (22.8)","44107 (21.6)","21902 (21.3)","",""
"   5","92455 (22.4)","23555 (22.5)","46634 (22.8)","22263 (21.6)","",""
"   6","72283 (17.5)","17494 (16.7)","37205 (18.2)","17583 (17.1)","",""
"   7","19249 (4.7)","4513 (4.3)","9872 (4.8)","4864 (4.7)","",""
"townsend (mean (SD))","-1.33 (3.08)","-1.39 (3.04)","-1.39 (3.04)","-1.14 (3.18)","<0.001",""
"total_met (mean (SD))","1619.08 (2015.70)","1645.29 (2084.82)","1625.33 (2008.34)","1578.85 (1955.34)","<0.001",""
"diet_quality (mean (SD))","3.29 (1.57)","3.12 (1.57)","3.31 (1.57)","3.42 (1.56)","<0.001",""
"sleep_hour (mean (SD))","7.15 (1.10)","7.17 (1.12)","7.15 (1.09)","7.14 (1.13)","<0.001",""
"smoke_cat (%)","","","","","<0.001",""
"   1","32255 (7.8)","6743 (6.4)","15030 (7.3)","10481 (10.1)","",""
"   2","11334 (2.7)","2843 (2.7)","5572 (2.7)","2919 (2.8)","",""
"   3","96062 (23.3)","27859 (26.5)","47078 (23.0)","21122 (20.5)","",""
"   4","47431 (11.5)","12141 (11.5)","23827 (11.6)","11463 (11.1)","",""
"   5","60211 (14.6)","15267 (14.5)","30436 (14.9)","14507 (14.0)","",""
"   6","165853 (40.1)","40374 (38.4)","82691 (40.4)","42787 (41.4)","",""
"total_alcohol (mean (SD))","12.55 (15.17)","15.16 (17.37)","12.50 (14.77)","9.98 (12.92)","<0.001",""
"non_hdl (mean (SD))","359.49 (78.74)","345.15 (77.61)","361.10 (77.88)","371.09 (79.37)","<0.001",""
"tg (mean (SD))","92.17 (22.17)","92.24 (22.59)","91.90 (21.60)","92.66 (22.85)","<0.001",""
"bp_cat (mean (SD))","49.88 (28.78)","47.57 (28.26)","50.05 (28.71)","51.91 (29.25)","<0.001",""
