"","Overall","1","2","3","p","test"
"n","413146","103286","206571","103286","",""
"sex = 2 (%)","190849 (46.2)","50744 (49.1)","93870 (45.4)","46234 (44.8)","<0.001",""
"age (mean (SD))","56.54 (8.09)","56.70 (7.93)","56.53 (8.04)","56.39 (8.34)","<0.001",""
"income (%)","","","","","<0.001",""
"   1","40844 (9.9)","10185 (9.9)","20481 (9.9)","10178 (9.9)","",""
"   2","17370 (4.2)","4265 (4.1)","8296 (4.0)","4809 (4.7)","",""
"   3","79972 (19.4)","18085 (17.6)","38964 (18.9)","22923 (22.3)","",""
"   4","89874 (21.8)","22149 (21.5)","44783 (21.7)","22941 (22.3)","",""
"   5","92455 (22.4)","23315 (22.6)","47003 (22.8)","22135 (21.5)","",""
"   6","72283 (17.5)","19303 (18.7)","36803 (17.9)","16177 (15.7)","",""
"   7","19249 (4.7)","5716 (5.5)","9715 (4.7)","3818 (3.7)","",""
"townsend (mean (SD))","-1.33 (3.08)","-1.30 (3.11)","-1.40 (3.03)","-1.21 (3.13)","<0.001",""
"total_met (mean (SD))","1619.08 (2015.70)","1688.28 (2026.41)","1612.54 (2009.32)","1560.73 (2015.54)","<0.001",""
"diet_quality (mean (SD))","3.29 (1.57)","3.42 (1.57)","3.29 (1.56)","3.14 (1.57)","<0.001",""
"sleep_hour (mean (SD))","7.15 (1.10)","7.14 (1.08)","7.16 (1.09)","7.16 (1.15)","0.001",""
"smoke_cat (%)","","","","","<0.001",""
"   1","32255 (7.8)","6875 (6.7)","15757 (7.6)","9622 (9.3)","",""
"   2","11334 (2.7)","3029 (2.9)","5568 (2.7)","2737 (2.6)","",""
"   3","96062 (23.3)","24195 (23.4)","47994 (23.2)","23871 (23.1)","",""
"   4","47431 (11.5)","12113 (11.7)","23927 (11.6)","11391 (11.0)","",""
"   5","60211 (14.6)","15265 (14.8)","30389 (14.7)","14557 (14.1)","",""
"   6","165853 (40.1)","41809 (40.5)","82936 (40.1)","41108 (39.8)","",""
"total_alcohol (mean (SD))","12.55 (15.17)","12.58 (14.76)","12.56 (15.01)","12.49 (15.85)","0.349",""
"non_hdl (mean (SD))","359.49 (78.74)","358.75 (79.08)","361.75 (78.52)","355.70 (78.68)","<0.001",""
"tg (mean (SD))","92.17 (22.17)","91.58 (21.20)","91.87 (21.41)","93.38 (24.47)","<0.001",""
"bp_cat (mean (SD))","49.88 (28.78)","51.13 (28.68)","50.01 (28.76)","48.38 (28.83)","<0.001",""
