"","Model","Category","HR","lower_conf","upper_conf","CI","P","P for trend"
"1","Model 1","expo_lmr_cat2",0.884,0.796,0.981,"0.796, 0.981",0.020924971841241,"0.020924971841241"
"2","Model 1","expo_lmr_cat3",0.859,0.751,0.982,"0.751, 0.982",0.0260557999019047,"NA"
"3","Model 2","expo_lmr_cat2",0.964,0.815,1.14,"0.815, 1.14",0.66815900519473,"0.66815900519473"
"4","Model 2","expo_lmr_cat3",0.829,0.665,1.033,"0.665, 1.033",0.0955458559531291,"NA"
"5","Model 1","expo_sii_cat2",0.518,0.466,0.574,"0.466, 0.574",2.60458023486609e-35,"2.60458023486609e-35"
"6","Model 1","expo_sii_cat3",0.451,0.399,0.509,"0.399, 0.509",3.32990087781832e-37,"NA"
"7","Model 2","expo_sii_cat2",0.527,0.447,0.622,"0.447, 0.622",3.12154947238937e-14,"3.12154947238937e-14"
"8","Model 2","expo_sii_cat3",0.387,0.316,0.474,"0.316, 0.474",3.71869433644903e-20,"NA"
"9","Model 1","expo_npar_cat2",0.791,0.705,0.887,"0.705, 0.887",6.05303107838073e-05,"6.05303107838073e-05"
"10","Model 1","expo_npar_cat3",0.795,0.702,0.9,"0.702, 0.9",0.000294077975103045,"NA"
"11","Model 2","expo_npar_cat2",0.746,0.619,0.899,"0.619, 0.899",0.00204639748735088,"0.00204639748735088"
"12","Model 2","expo_npar_cat3",0.747,0.611,0.915,"0.611, 0.915",0.00480369151288057,"NA"
"13","Model 1","expo_nps_cat2",0.778,0.676,0.895,"0.676, 0.895",0.000437119501939681,"0.000437119501939681"
"14","Model 1","age",0.962,0.957,0.968,"0.957, 0.968",4.29816007041442e-35,"NA"
"15","Model 2","expo_nps_cat2",0.722,0.575,0.906,"0.575, 0.906",0.00487464662469417,"0.00487464662469417"
"16","Model 2","age",0.969,0.958,0.979,"0.958, 0.979",5.83215683944669e-09,"NA"
