"","Model","Category","HR","lower_conf","upper_conf","CI","P","P for trend"
"1","Model 1","expo_lmr_cat2",1.068,1.022,1.115,"1.022, 1.115",0.00326609259357971,"0.00326609259357971"
"2","Model 1","expo_lmr_cat3",1.105,1.049,1.164,"1.049, 1.164",0.00017472518207304,"NA"
"3","Model 2","expo_lmr_cat2",1.133,1.059,1.213,"1.059, 1.213",0.00031272232019272,"0.00031272232019272"
"4","Model 2","expo_lmr_cat3",1.122,1.033,1.22,"1.033, 1.22",0.00648960052300169,"NA"
"5","Model 1","expo_sii_cat2",0.824,0.789,0.861,"0.789, 0.861",2.77517074682534e-18,"2.77517074682534e-18"
"6","Model 1","expo_sii_cat3",0.744,0.708,0.782,"0.708, 0.782",1.02190051867194e-31,"NA"
"7","Model 2","expo_sii_cat2",0.851,0.795,0.91,"0.795, 0.91",2.42733058156942e-06,"2.42733058156942e-06"
"8","Model 2","expo_sii_cat3",0.712,0.658,0.769,"0.658, 0.769",1.31259239209531e-17,"NA"
"9","Model 1","expo_npar_cat2",0.873,0.835,0.913,"0.835, 0.913",2.89439777810324e-09,"2.89439777810324e-09"
"10","Model 1","expo_npar_cat3",0.81,0.77,0.851,"0.77, 0.851",1.01354768152829e-16,"NA"
"11","Model 2","expo_npar_cat2",0.864,0.806,0.926,"0.806, 0.926",3.56559363770471e-05,"3.56559363770471e-05"
"12","Model 2","expo_npar_cat3",0.766,0.708,0.829,"0.708, 0.829",3.98012497934649e-11,"NA"
"13","Model 1","expo_nps_cat2",0.84,0.795,0.889,"0.795, 0.889",8.72674789271744e-10,"8.72674789271744e-10"
"14","Model 1","age",0.963,0.961,0.965,"0.961, 0.965",3.17993147538113e-231,"NA"
"15","Model 2","expo_nps_cat2",0.819,0.751,0.893,"0.751, 0.893",5.9641128869238e-06,"5.9641128869238e-06"
"16","Model 2","age",0.962,0.958,0.966,"0.958, 0.966",6.96017070513943e-84,"NA"
